"Site","Treatment","Seed_Arrival","PlotID","GNDVI_apr_21","LCI_apr_21","NDRE_apr_21","NDVI_apr_21","OSAVI_apr_21","GNDVI_oct_21","LCI_oct_21","NDRE_oct_21","NDVI_oct_21","OSAVI_oct_21"
2,"SM+BC","SA4",40,0.312150945407874,0.0834789457461988,0.0692600156920698,0.288751843083857,0.184292399052462,0.287245477157863,0.0657750833665942,0.0563808134933541,0.223814606362704,0.140138733262388
2,"SM","SA1",41,0.336241899331251,0.0808587408215092,0.0668182281796879,0.290601315864952,0.18405832944885,0.398336805016624,0.107992721552264,0.0881375033312883,0.333373398199516,0.191598348346693
2,"C","SA2",42,0.509547357645052,0.0814350263114545,0.0677254674072137,0.282178755527963,0.20339582062077,0.432129292119253,0.119886196470782,0.0960561504694846,0.357470159317237,0.20914722613516
2,"C","SA1",43,0.298290375734353,0.0693897960554671,0.0576511912495988,0.274682255140947,0.182317925640179,0.316057243187027,0.0813915127340863,0.0718978273490811,0.212980496614487,0.118842594219868
2,"C","SA3",44,0.291404937669346,0.0626674206872931,0.0520130797251342,0.266479014032488,0.182450956288405,0.322495674967951,0.082936251065585,0.0732374399956218,0.216008282254491,0.121411434465552
2,"SM","SA2",45,0.301053585968105,0.0668428791071623,0.0554807594834239,0.270162051666195,0.187409673787926,0.287490010856648,0.0642509229909444,0.0547615047808202,0.232895630468614,0.151574641735444
2,"SM+BC","SA1",46,0.321160291054195,0.0686875960042691,0.0568616732330273,0.275394257191937,0.192816285129859,0.25761393995817,0.0595845461837082,0.0526314101841592,0.185237633252555,0.111636860339142
2,"SM","SA2",47,0.322006092699736,0.0732277240539221,0.0609087715129759,0.274824095311494,0.190643930402742,0.270846540251116,0.0612769014710752,0.0541647887882837,0.191741143000466,0.126866524813977
2,"BC","SA2",48,0.395598327192345,0.0651318753132879,0.0548165463697529,0.252911428047091,0.174373348329631,0.328680114424399,0.0966311897928325,0.0815041181181781,0.278492337441416,0.134151286233082
3,"SM","SA1",1,0.410562553891183,0.131288798457785,0.111855617376014,0.30529368453355,0.175746472477302,0.377677532979034,0.10581929144189,0.092934090174345,0.245167812648784,0.151698195629381
3,"SM+BC","SA2",2,0.395097987247668,0.125599036445104,0.108014295273767,0.288250836520392,0.181393573159551,0.376094937234251,0.0986607843229957,0.0865283973077831,0.240008010792332,0.146920317048939
3,"BC","SA4",3,0.429151970123068,0.144132676182914,0.118792164916966,0.348826068015789,0.229956175748786,0.452980880653909,0.135927564794518,0.112218505103574,0.335213249198687,0.187436464077924
3,"C","SA2",4,0.414048370934717,0.153002284060468,0.12927490601057,0.335894184677842,0.208833516280371,0.438330246034389,0.132248630978078,0.112243791418849,0.308687922031686,0.187450309534784
3,"SM","SA4",5,0.388738728772975,0.177619074421397,0.15060702838835,0.355571033418325,0.120558909048923,0.353649732863723,0.0966658151944906,0.0836560620395474,0.248355394447521,0.157705847096395
3,"SM+BC","SA3",6,0.35641274728323,0.183949125918942,0.154135286671545,0.37737940665465,0.0922809863823096,0.3109100476322,0.0747165630470472,0.0653702361601585,0.215590583064283,0.138716593952526
3,"BC","SA3",7,0.365359564429638,0.182737589394298,0.151695504392134,0.387549643493428,0.107291261607675,0.337975930804552,0.0945931505396353,0.0822878379126581,0.244628849108125,0.112828488387943
3,"BC","SA3",8,0.358238918283391,0.114408491926733,0.0989968310889628,0.269861022348957,0.15904665579749,0.393432292065168,0.127000052355076,0.109319532659649,0.292501295518007,0.13608721290271
3,"C","SA1",9,0.35957741475163,0.115368424773543,0.099154342168021,0.278510748724828,0.184460711672962,0.401539903104515,0.126226617326493,0.107688084964906,0.299336860911284,0.176528900285155
3,"SM+BC","SA2",10,0.393299499489772,0.148177542714697,0.126257534680014,0.320992270815977,0.21501654587845,0.285555990095439,0.0792560325687676,0.0706636825984753,0.201480275596486,0.126254862697331
3,"SM","SA2",11,0.393611489994824,0.14421175357001,0.121626701352143,0.328368631708252,0.220274249139879,0.302299597961821,0.0833539520517688,0.0735356974092872,0.215710597882779,0.141481545926932
3,"SM+BC","SA4",12,0.383868346471937,0.143298991871234,0.121313822668067,0.324904684206921,0.202041273801823,0.245873418284337,0.0650998986859802,0.0589239606107647,0.17094250357968,0.106186738160001
3,"SM","SA4",13,0.37720811830963,0.14518559614584,0.125526269000067,0.302083472557572,0.189783263717551,0.307130761605648,0.0851499973709601,0.074160889617556,0.228173355854395,0.145055554184442
3,"BC","SA1",14,0.402979263072699,0.156690151077632,0.133129787181419,0.33296278019187,0.217225414340192,0.303177505259422,0.102817736681341,0.0911345055145721,0.232606924204068,0.0988962478617552
